project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8925506350841057,0.31560283687943264,0.4258373205741627,0.9286242603550295,0.3625254582484725,0.6288424817470186,0.30935752079848905,0.850381147192888,,,
2,0.8528974739970282,0.46825396825396826,0.6483516483516484,0.8848797250859106,0.543778801843318,0.7574385970838848,0.4674325447047256,0.8716815830217892,,,
3,0.9257045260461144,0.4479166666666667,0.5584415584415584,0.9515539305301646,0.49710982658959535,0.7289631402934277,0.46076608984548123,0.904069422350958,,,
4,0.8838174273858921,0.5760869565217391,0.5408163265306123,0.9376,0.5578947368421052,0.7120880477547016,0.49141730433586955,0.8916897959183674,,,
all,0.8936131386861313,0.40939597315436244,0.5136842105263157,0.9296703296703297,0.4556489262371615,0.6910549683971913,0.4006720503609196,0.8725182186234818,0.7431578947368421,0.013224095943038517,0.9000126246686025
