project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.874356333676622,0.3052109181141439,0.5885167464114832,0.8964497041420119,0.4019607843137255,0.7263440391461842,0.36249231060873516,0.8655314826873531,,,
2,0.8543833580980683,0.4732824427480916,0.6813186813186813,0.8814432989690721,0.5585585585585585,0.774947602171138,0.4860395908279864,0.8716060571730675,,,
3,0.9137489325362937,0.4154929577464789,0.7662337662337663,0.9241316270566727,0.5388127853881278,0.8414872887307168,0.5241808815849814,0.9211401030413827,,,
4,0.8298755186721992,0.41379310344827586,0.6122448979591837,0.864,0.49382716049382713,0.7273098320775917,0.4071322096358983,0.8745959183673468,,,
all,0.8744525547445255,0.3702801461632156,0.64,0.8967032967032967,0.4691358024691358,0.7575553510405098,0.42312157917455684,0.8831433829328565,0.76,0.013312785240431469,0.9077136725160965
