developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9230769230769232,0.5660377358490566,0.5357142857142857,0.9604130808950088,0.5504587155963303,0.7172914384142097,0.5086638861529509,0.9348414064420948,,,
3,0.9178571428571428,0.4,0.3,0.9653846153846154,0.3428571428571428,0.5381592558113115,0.3035350504480627,0.8721153846153846,,,
other,0.8852744699390067,0.4077669902912621,0.5266457680250783,0.9218950064020488,0.4596443228454172,0.6967869858752325,0.4006924934662922,0.8757500832868398,,,
all,0.897992700729927,0.4222222222222222,0.48,0.9376623376623376,0.4492610837438424,0.6708784704236096,0.3942882238454548,0.8824270466375731,0.7789473684210526,0.0132877435564616,0.9236207549551824
new_all,0.9194894452626411,0.46875,0.38461538461538464,0.9638490164805954,0.4225352112676056,0.6088605424765546,0.3818626353069803,0.896195422511212,,,
