style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9034279395503133,0.2845528455284553,0.44871794871794873,0.9311693390692217,0.3482587064676617,0.6463995635334149,0.3079855180887512,0.8613960671058833,,,
2,0.8952546296296297,0.41566265060240964,0.45098039215686275,0.9384126984126984,0.43260188087774293,0.6505426402128753,0.3753873874437821,0.8858263305322128,,,
3,0.8474784747847478,0.4639175257731959,0.8181818181818182,0.8520625889046942,0.5921052631578947,0.8349503687014874,0.5378498034763003,0.9219061166429587,,,
1,0.7345132743362832,0.4811320754716981,0.9107142857142857,0.6764705882352942,0.6296296296296297,0.7849021777084254,0.5079837011896966,0.8981092436974789,,,
all,0.8855839416058394,0.39325842696629215,0.5894736842105263,0.9136863136863137,0.4717775905644482,0.7338896630566518,0.42106275932543774,0.8920363846679636,0.9073684210526316,0.0015254559151587747,0.9660681114551084
