developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9309262166405023,0.6111111111111112,0.5892857142857143,0.963855421686747,0.6,0.7536486121773416,0.5623243367324663,0.940558150971232,,,
3,0.9128571428571428,0.3854166666666667,0.37,0.9546153846153846,0.3775510204081632,0.5943127899580256,0.3308006563609866,0.8620307692307693,,,
other,0.8695904734243393,0.3689516129032258,0.5736677115987461,0.8998079385403329,0.449079754601227,0.7184641681954765,0.3909467409032935,0.8765598721998562,,,
all,0.8877737226277372,0.391640866873065,0.5326315789473685,0.9214785214785216,0.4513826940231936,0.7005773047003389,0.3962236782914331,0.8816148062463852,0.8126315789473684,0.010197182393192,0.9354879434414848
new_all,0.9185076092292587,0.4666666666666667,0.44871794871794873,0.9574694311536417,0.45751633986928103,0.6554645063673573,0.41357239529553386,0.8931726168568274,,,
