project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8922073463783041,0.32786885245901637,0.4784688995215311,0.9241863905325444,0.38910505836575876,0.6649770260925429,0.3393955804255406,0.8697764785821466,,,
2,0.8722139673105498,0.5221238938053098,0.6483516483516484,0.9072164948453608,0.5784313725490197,0.766938921847623,0.5082604166767064,0.8827650013217024,,,
3,0.928266438941076,0.46534653465346537,0.6103896103896104,0.9506398537477148,0.5280898876404494,0.7617484426960804,0.495321429896658,0.9262446876706474,,,
4,0.8520055325034578,0.45714285714285713,0.4897959183673469,0.9088,0.4729064039408867,0.6671780351692079,0.38725497576996704,0.8844244897959184,,,
all,0.8921532846715329,0.40705128205128205,0.5347368421052632,0.926073926073926,0.462238398544131,0.7037086377079609,0.40816882471751936,0.8877093432882905,0.7873684210526316,0.011811327605743728,0.9263981820477212
