developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9199372056514914,0.5352112676056338,0.6785714285714286,0.9432013769363167,0.5984251968503937,0.8000184408988427,0.5594694968781895,0.9382222768625523,,,
3,0.915,0.39325842696629215,0.35,0.9584615384615385,0.37037037037037035,0.5791904164103014,0.3255939656074585,0.8505461538461538,,,
other,0.8812082486203892,0.40217391304347827,0.5799373040752351,0.9119718309859155,0.4749679075738126,0.7272458216136604,0.4192086152636358,0.8714753611437792,,,
all,0.8943430656934307,0.4161290322580645,0.5431578947368421,0.9276723276723277,0.4712328767123288,0.7098398048180501,0.4182146081855117,0.8757705452442294,0.7768421052631579,0.012779606052575016,0.9188233808862516
