,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.4299,0.4684,0.4552,0.4586,0.4656,0.4477
developer_aware,0.443,0.4799,0.4648,0.4664,0.4682,0.4523
Kmean,0.4718,0.4948,0.4897,0.4799,0.4855,0.4539
project_final,0.4657,0.4939,0.4702,0.4646,0.4757,0.4634
