,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.6591,0.6716,0.6967,0.6823,0.6957,0.6872
developer_aware,0.6706,0.6856,0.7069,0.6982,0.6939,0.7023
Kmean,0.7339,0.7445,0.746,0.734,0.7489,0.7416
project_final,0.7349,0.7504,0.7499,0.7073,0.7505,0.7438
