style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9332841872465905,0.3595505617977528,0.20512820512820512,0.9777082518576456,0.2612244897959184,0.44783427609171894,0.2389535799634457,0.8388912287035086,,,
2,0.9114583333333334,0.5,0.3202614379084967,0.9688888888888889,0.3904382470119522,0.5570437583611554,0.35514265893016633,0.8828343189127503,,,
3,0.7872078720787208,0.37142857142857144,0.8272727272727273,0.7809388335704125,0.5126760563380282,0.803771981771558,0.45338950819588386,0.8864218285270916,,,
1,0.672566371681416,0.4262295081967213,0.9285714285714286,0.5882352941176471,0.5842696629213483,0.7390659560519331,0.44766180717438525,0.8525210084033613,,,
all,0.893978102189781,0.4043321299638989,0.47157894736842104,0.9340659340659341,0.43537414965986393,0.663691065149678,0.37861059223357346,0.8736261633103739,0.9052631578947369,0.00160266777406558,0.9621052631578948
