project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8907655338139374,0.3410899579104272,0.5607655502392344,0.9162721893491124,0.4241703818933472,0.7167894108777728,0.3816653155477631,0.8775296565782396,,,
2,0.8683506686478454,0.5102954816945667,0.7032967032967032,0.8941580756013746,0.5912727215843959,0.7930007540035229,0.5247419192300867,0.8790566821494658,,,
3,0.9188727583262167,0.42644340079873916,0.6727272727272727,0.9361974405850091,0.5218611323680358,0.7935284680717958,0.4949727579682867,0.9251240532776184,,,
4,0.867496542185339,0.5098862690491324,0.5979591836734695,0.90976,0.5502659161186475,0.7374600393916214,0.4753295936653794,0.9036114285714285,,,
all,0.8909489051094891,0.4131963340465492,0.6138947368421053,0.9172427572427573,0.4939240193099489,0.7503855883896474,0.44615751056306274,0.8957051369682949,0.7869473684210526,0.01166379035102176,0.9249589698270422
