project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8952969447305184,0.34810126582278483,0.5263157894736842,0.9238165680473372,0.41904761904761906,0.6972942322583084,0.37354007672336476,0.8762722601285353,,,
2,0.8632986627043091,0.4957983193277311,0.6483516483516484,0.8969072164948454,0.5619047619047619,0.7625688639283155,0.4887160033219682,0.8772516143650164,,,
3,0.9308283518360376,0.4807692307692308,0.6493506493506493,0.9506398537477148,0.5524861878453039,0.7856835281012864,0.5227565949557476,0.9252831263800185,,,
4,0.8478561549100968,0.44545454545454544,0.5,0.9024,0.47115384615384615,0.6717142249498665,0.3835168403599581,0.8762448979591837,,,
all,0.8927007299270073,0.41294298921417566,0.5642105263157895,0.9238761238761238,0.47686832740213525,0.7219838184493745,0.42501563616423327,0.8880933803039066,0.7873684210526316,0.011738289360831884,0.9251357151874762
