style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9203833394765942,0.3170731707317073,0.3333333333333333,0.9561986703167775,0.325,0.5645643365512849,0.2828247404445297,0.8367853955456614,,,
2,0.8964120370370371,0.4329896907216495,0.5490196078431373,0.9301587301587302,0.484149855907781,0.7146155478742515,0.43119093951032417,0.8839132690113082,,,
3,0.7970479704797048,0.3895582329317269,0.8818181818181818,0.7837837837837838,0.5403899721448467,0.8313571982937245,0.49391176972990464,0.9074356653304022,,,
1,0.6592920353982301,0.4146341463414634,0.9107142857142857,0.5764705882352941,0.5698324022346368,0.7245688373094719,0.42231946812567916,0.8483193277310924,,,
all,0.8837591240875913,0.38904109589041097,0.5978947368421053,0.9108891108891108,0.4713692946058091,0.7379808976168585,0.4212829920545661,0.879409012040591,0.8989473684210526,0.0015984941600706176,0.9618575851393188
