style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.925912274235164,0.38095238095238093,0.46153846153846156,0.9542432538130622,0.41739130434782606,0.6636414418180472,0.38020469233915155,0.8435391033161859,,,
2,0.8848379629629629,0.3838383838383838,0.49673202614379086,0.9225396825396825,0.43304843304843305,0.6769453491279677,0.3739411353646265,0.8740408756095032,,,
3,0.8130381303813038,0.40948275862068967,0.8636363636363636,0.8051209103840683,0.5555555555555556,0.8338655139359676,0.5065361735182856,0.918233544549334,,,
1,0.7123893805309734,0.4608695652173913,0.9464285714285714,0.6352941176470588,0.6198830409356725,0.7754098943150524,0.5023704290177673,0.9079831932773109,,,
all,0.8874087591240876,0.4032697547683924,0.6231578947368421,0.9124875124875125,0.48966087675765096,0.7540714802028892,0.4425010793033243,0.8832813502287188,0.9031578947368422,0.0016412737035189826,0.959876160990712
