project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt,0,1,2,3,4,5,6,7,8,9,10
1,0.894335736354274,0.320671009281869,0.4220095693779904,0.9308431952662722,0.3643844704724234,0.6267454288795149,0.3114179545498924,0.8525469975368761,,,,,,,,,,,,,,
2,0.8615156017830609,0.4915463670051455,0.6593406593406593,0.8931271477663231,0.563059031847114,0.7673691558884678,0.4903332686054901,0.8721762773309166,,,,,,,,,,,,,,
3,0.9291204099060631,0.4690217562304027,0.5896103896103896,0.953016453382084,0.5224185173611171,0.7494755237776085,0.4883956720539338,0.90586908521095,,,,,,,,,,,,,,
4,0.8807745504840941,0.5637001946292924,0.5346938775510204,0.93504,0.5487509303129985,0.7070711896743663,0.4803849311693572,0.8888946938775509,,,,,,,,,,,,,,
all,0.8959489051094891,0.4190990598671532,0.5178947368421053,0.9318281718281718,0.4632558487343133,0.6946843193908416,0.4091701961218665,0.8737553814606447,0.7482105263157894,0.0132656234022883,0.9015528342381012,0.8957907542579076,0.4186438726896944,0.519578947368421,0.9314951714951716,0.4636486531394667,0.6956808996231332,0.4096111588579382,0.8741694656220972,0.7578947368421053,0.0127062269625201,0.9068272420284469
