style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt,0,1,2,3,4,5,6,7,8,9,10
0,0.9416881680796166,0.482859894077997,0.1974358974358974,0.9870942510754792,0.2802258982635005,0.4413601397653128,0.2834895399538978,0.8496292229475648,,,,,,,,,,,,,,
1,0.7026548672566372,0.4517520093907296,0.9321428571428572,0.6270588235294118,0.6085225117892792,0.7644999185244871,0.4830542889361808,0.880735294117647,,,,,,,,,,,,,,
2,0.9162037037037036,0.5447068172422449,0.3281045751633987,0.9733333333333332,0.4093502914626132,0.5649634879443609,0.3810404680334481,0.8979661790642183,,,,,,,,,,,,,,
3,0.8270602706027059,0.4286236322946431,0.8345454545454546,0.8258890469416785,0.5663456890792322,0.8302018794281022,0.5128362216594439,0.9068511573774732,,,,,,,,,,,,,,
all,0.9067883211678832,0.4631522816506309,0.4736842105263157,0.947892107892108,0.4683565811082861,0.6700675804502533,0.4173128689220563,0.8879605026552394,0.7890526315789476,0.0115701135849048,0.9243095975232196,0.9070802919708032,0.4648978250267819,0.4757894736842105,0.948011988011988,0.4702521744970802,0.6715953823951502,0.4193856316427828,0.88804331107489,0.7820350877192982,0.0118019439302783,0.9237746211329133
