style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9262808698857353,0.3493150684931507,0.3269230769230769,0.9628470864294094,0.33774834437086093,0.5610498481435694,0.2989454629433419,0.8300893474925544,,,
2,0.8981481481481481,0.43646408839779005,0.5163398692810458,0.9352380952380952,0.47305389221556887,0.6949105811842934,0.4189230838247947,0.8783359269633779,,,
3,0.7896678966789668,0.3831417624521073,0.9090909090909091,0.7709815078236131,0.5390835579514824,0.8371930959101659,0.49824089748971706,0.9072675546359756,,,
1,0.6504424778761062,0.4094488188976378,0.9285714285714286,0.5588235294117647,0.5683060109289617,0.7203523880887812,0.42411149985328594,0.8242647058823529,,,
all,0.8857664233576642,0.3944055944055944,0.5936842105263158,0.9134865134865134,0.47394957983193275,0.7364255017214419,0.42366106017096067,0.8759644565960355,0.8926315789473684,0.001583886511088249,0.96
