developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9293563579277864,0.72,0.3214285714285714,0.9879518072289156,0.4444444444444444,0.5635210182751533,0.4511584863891317,0.947227686255225,,,
3,0.9257142857142856,0.4743589743589743,0.37,0.9684615384615384,0.4157303370786517,0.598607358149538,0.3800300785295558,0.8737153846153847,,,
other,0.8945686900958466,0.4427083333333333,0.5329153605015674,0.9314980793854032,0.4836415362731152,0.7045634355983781,0.4277601101877735,0.8816965629628439,,,
all,0.9065693430656936,0.4620123203285421,0.4736842105263157,0.9476523476523476,0.4677754677754678,0.6699910105002246,0.4166129115455848,0.8867469372732532,0.7789473684210526,0.0117487233958192,0.9228632748390352
new_all,0.9268532155130094,0.5339805825242718,0.3525641025641026,0.9744816586921851,0.4247104247104247,0.5861461007820391,0.3969340674488367,0.9006563611826769,,,
