developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9277864992150706,0.625,0.4464285714285714,0.974182444061962,0.5208333333333334,0.659471664905609,0.490959378852174,0.9530366363412834,,,
3,0.9207142857142856,0.4432989690721649,0.43,0.9584615384615384,0.4365482233502538,0.6419801099243353,0.3939686161613812,0.8877769230769231,,,
other,0.8945686900958466,0.4427083333333333,0.5329153605015674,0.9314980793854032,0.4836415362731152,0.7045634355983781,0.4277601101877735,0.8816965629628439,,,
all,0.9051094890510948,0.4568138195777351,0.5010526315789474,0.9434565434565436,0.4779116465863454,0.6875473684621872,0.4263965278004443,0.8916637047163364,0.7852631578947369,0.0118770620261643,0.9256407019315744
new_all,0.9229258713794797,0.49635036496350365,0.4358974358974359,0.9633173843700159,0.4641638225255973,0.6480027606440536,0.42386374245541136,0.9121068989490043,,,
