developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9199372056514914,0.5510204081632653,0.4821428571428571,0.9621342512908778,0.5142857142857142,0.6810918857778204,0.4721166461061612,0.9305077452667814,,,
3,0.9192857142857144,0.410958904109589,0.3,0.9669230769230768,0.3468208092485549,0.5385878972618333,0.3092152518964018,0.8620307692307693,,,
other,0.8838222480395005,0.4093959731543624,0.5736677115987461,0.9154929577464788,0.4778067885117493,0.724699075516997,0.421966252274019,0.8715486134246344,,,
all,0.897080291970803,0.421792618629174,0.5052631578947369,0.9342657342657342,0.4597701149425287,0.6870589896129371,0.4054106692386669,0.8761293443398707,0.7536842105263157,0.0138104887093307,0.902158818331019
new_all,0.9194894452626411,0.4672131147540984,0.36538461538461536,0.9654439128123339,0.41007194244604317,0.5939346367727284,0.37076211020126126,0.8889570468517838,,,
