developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.913657770800628,0.5102040816326531,0.4464285714285714,0.9586919104991394,0.4761904761904761,0.6542075053408197,0.4305063654323979,0.9196274895500368,,,
3,0.905,0.3513513513513513,0.39,0.9446153846153846,0.3696682464454976,0.6069596362197407,0.3189551601827142,0.8638846153846154,,,
other,0.8875980249782167,0.4227272727272727,0.5830721003134797,0.9186939820742638,0.4901185770750988,0.7318912690238867,0.4357607913858333,0.8870931488044828,,,
all,0.8950729927007299,0.4166666666666667,0.5263157894736842,0.93006993006993,0.4651162790697674,0.6996502622814412,0.4112400054862153,0.885657921026342,0.783157894736842,0.0122234719877462,0.9227370281530108
new_all,0.907707412862052,0.4,0.41025641025641024,0.94896331738437,0.4050632911392405,0.6239537515354212,0.3550788041401115,0.8842030289398711,,,
