,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
developer_aware,0.42->0.45,0.47->0.48,0.45->0.47,0.45->0.47,0.46->0.47,0.44->0.45
Kmean,0.43->0.47,0.47->0.48,0.46->0.49,0.46->0.48,0.47->0.48,0.45->0.45
project_final,0.43->0.46,0.47->0.49,0.45->0.47,0.46->0.47,0.46->0.47,0.44->0.47
