developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt,0,1,2,3,4,5,6,7,8,9,10
1,0.9124018838304552,0.5048736210026533,0.3035714285714285,0.9710843373493976,0.3789433348518974,0.5428707585851288,0.3476215631102318,0.9137509220555692,,,,,,,,,,,,,,
3,0.9095714285714288,0.354950716131296,0.326,0.9544615384615384,0.3397939752283293,0.5576573397726992,0.2916960589936734,0.8512046153846153,,,,,,,,,,,,,,
all,0.8969343065693429,0.4200899305501746,0.496,0.934985014985015,0.4548623152009234,0.6809780706066162,0.4000832139509225,0.8823658446816343,0.7789473684210526,0.0122343233841331,0.9211715692463074,0.8972627737226277,0.421635101511862,0.4978245614035088,0.935171495171495,0.456547203016051,0.6823013923987036,0.4019483012053592,0.8824885290148448,0.7790877192982455,0.01202140646618,0.9220035664363088
new_all,0.9104565537555228,0.3949391406228206,0.3179487179487179,0.9595959595959596,0.3522392502833071,0.5523065110806165,0.3068427840582926,0.872736814842078,,,,,,,,,,,,,,
other,0.8889340691257624,0.4273460241398036,0.5830721003134796,0.9201664532650448,0.4931677598142731,0.732465352368567,0.4390794654933924,0.8884736030890388,,,,,,,,,,,,,,
