style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9240692959823074,0.3546511627906977,0.391025641025641,0.9565897536175205,0.3719512195121951,0.6115971890115675,0.3320932961701773,0.8510097971380725,,,
2,0.8969907407407407,0.43243243243243246,0.5228758169934641,0.9333333333333333,0.47337278106508873,0.6985824426607785,0.4191612811044024,0.8811370474115573,,,
3,0.8044280442804428,0.39748953974895396,0.8636363636363636,0.7951635846372689,0.5444126074498568,0.8286930594207886,0.4946211294547482,0.9034398034398035,,,
1,0.7035398230088495,0.45132743362831856,0.9107142857142857,0.6352941176470588,0.6035502958579881,0.7606388292556648,0.47145403547220294,0.8698529411764705,,,
all,0.8886861313868614,0.40479548660084624,0.6042105263157894,0.9156843156843156,0.4847972972972973,0.7438185950342555,0.4358494763754662,0.8844715284715285,0.9073684210526316,0.0015901469320806928,0.964829721362229
