project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc
1,0.9028492962581531,0.35658914728682173,0.44019138755980863,0.9386094674556213,0.39400428265524623,0.6427813032875669,0.3440688228347533,0.8756087030378529
2,0.8605341246290801,0.5333333333333333,0.6274509803921569,0.9020979020979021,0.5765765765765766,0.7523444776703266,0.49608791874620933,0.8392293980529274
3,0.8392857142857143,0.390625,0.625,0.8682432432432432,0.4807692307692308,0.7366491885741998,0.40678277709663213,0.8717905405405406
4,0.9257045260461144,0.4519230769230769,0.6103896103896104,0.9478976234003657,0.5193370165745856,0.760648973598589,0.4864215880688111,0.9175312804197631
5,0.7887323943661971,0.45121951219512196,0.5522388059701493,0.84375,0.4966442953020134,0.6826063964960433,0.36764469595149396,0.81643864013267
6,0.8913043478260869,0.23529411764705882,0.12903225806451613,0.9614243323442137,0.16666666666666666,0.3522140720649073,0.11969003451989432,0.8933665167033598
all,0.8930656934306569,0.40512820512820513,0.49894736842105264,0.9304695304695305,0.44716981132075473,0.6813628428552182,0.3912674283332963,0.8799470003680531
