developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9262166405023547,0.5882352941176471,0.5357142857142857,0.963855421686747,0.5607476635514018,0.7185757571479554,0.5212478536210166,0.9358864027538726,,,
3,0.9178571428571428,0.4050632911392405,0.32,0.9638461538461538,0.3575418994413408,0.5553654375551014,0.3168033282729654,0.8820846153846154,,,
other,0.8783038048213767,0.3847926267281106,0.5235109717868338,0.9145326504481434,0.4435590969455511,0.6919305431666507,0.3826592861909841,0.8705070261982268,,,
all,0.893978102189781,0.4060283687943262,0.4821052631578947,0.9330669330669332,0.4408084696823869,0.6706985010495875,0.3844426994233357,0.8811441190388558,0.7789473684210526,0.0136863236929806,0.922232041408913
new_all,0.9204712812960235,0.47692307692307695,0.3974358974358974,0.9638490164805954,0.43356643356643354,0.618925034925614,0.3930605898073007,0.9025954552270342,,,
