,1_base,1_style,3_base,3_style
codebert,0.5,0.58,0.28,0.34
plbart,0.47,0.52,0.41,0.44
graphcodebert,0.51,0.55,0.35,0.38
unixcoder,0.38,0.45,0.34,0.38
codet5,0.47,0.5,0.36,0.37
cct5,0.55,0.6,0.36,0.39
