,0_base,0_style,1_base,1_style,2_base,2_style,3_base,3_style
codebert,0.84,0.84,0.84,0.85,0.88,0.88,0.88,0.9
plbart,0.85,0.86,0.88,0.89,0.9,0.9,0.91,0.92
graphcodebert,0.83,0.85,0.85,0.87,0.88,0.88,0.89,0.91
unixcoder,0.85,0.86,0.89,0.9,0.88,0.89,0.9,0.93
codet5,0.83,0.84,0.88,0.89,0.88,0.88,0.89,0.92
cct5,0.84,0.84,0.86,0.86,0.89,0.89,0.89,0.9
