,0_base,0_style,1_base,1_style,2_base,2_style,3_base,3_style
codebert,0.46,0.55,0.73,0.73,0.55,0.71,0.8,0.83
plbart,0.44,0.64,0.76,0.76,0.56,0.65,0.83,0.84
graphcodebert,0.53,0.6,0.77,0.78,0.63,0.7,0.81,0.84
unixcoder,0.57,0.65,0.75,0.79,0.56,0.64,0.81,0.83
codet5,0.54,0.65,0.77,0.77,0.62,0.68,0.81,0.83
cct5,0.62,0.66,0.81,0.81,0.6,0.68,0.78,0.83
