,1_base,1_style,2_base,2_style,3_base,3_style,4_base,4_style
codebert,0.86,0.87,0.86,0.86,0.9,0.91,0.87,0.87
plbart,0.87,0.88,0.88,0.88,0.92,0.93,0.91,0.9
graphcodebert,0.85,0.86,0.86,0.86,0.91,0.92,0.88,0.88
unixcoder,0.87,0.87,0.88,0.88,0.91,0.93,0.88,0.88
codet5,0.85,0.87,0.87,0.87,0.91,0.93,0.89,0.88
cct5,0.86,0.86,0.85,0.86,0.91,0.92,0.89,0.89
