,1_base,1_style,2_base,2_style,3_base,3_style,4_base,4_style
codebert,0.34,0.42,0.54,0.53,0.48,0.48,0.47,0.5
plbart,0.4,0.42,0.59,0.59,0.51,0.52,0.48,0.55
graphcodebert,0.36,0.39,0.55,0.55,0.52,0.54,0.51,0.54
unixcoder,0.4,0.4,0.56,0.57,0.48,0.53,0.46,0.46
codet5,0.36,0.41,0.56,0.56,0.52,0.56,0.55,0.5
cct5,0.38,0.39,0.45,0.47,0.5,0.59,0.5,0.54
