style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9258385551050499,0.37769141563259206,0.44743589743589746,0.9550254204145483,0.40955293652901836,0.6536040644639248,0.3718415772088736,0.8432390220911927,,,
1,0.7070796460176991,0.4560879262370786,0.9428571428571428,0.6294117647058823,0.614744031813981,0.7703147879406735,0.49435754716053204,0.8944117647058822,,,
2,0.8849537037037036,0.3846472968321234,0.4980392156862745,0.9225396825396824,0.43398634797265256,0.6777763228398895,0.3750230447887055,0.8760958605664488,,,
3,0.8127921279212792,0.40761169634599526,0.8454545454545455,0.8076813655761024,0.5499770732061645,0.8262978622668113,0.4972314260856209,0.9160894866158025,,,
all,0.8871532846715329,0.4014340667737736,0.6143157894736841,0.9130469530469529,0.4855479186876089,0.7489232880901859,0.4374574392409471,0.8836227772227773,0.7839999999999999,0.01164816016661062,0.9200495356037152
