project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8736697562650189,0.29457364341085274,0.5454545454545454,0.8990384615384616,0.3825503355704698,0.7002746713858894,0.3379630835070629,0.8627144616517087,,,
2,0.7845468053491828,0.35789473684210527,0.7472527472527473,0.7903780068728522,0.48398576512455516,0.7685129387355099,0.4084283937042485,0.8580869302518789,,,
3,0.9350982066609735,0.5047619047619047,0.6883116883116883,0.9524680073126143,0.5824175824175825,0.8096881264883504,0.5558908345571864,0.9118687528193927,,,
4,0.8658367911479945,0.504424778761062,0.5816326530612245,0.9104,0.5402843601895735,0.7276801270798446,0.46381290946960385,0.8938448979591836,,,
all,0.8748175182481752,0.3672955974842767,0.6147368421052631,0.8995004995004995,0.45984251968503936,0.7436101778049059,0.4108412990400544,0.8790443240969557,0.8084210526315789,0.009505405873526974,0.9334679964650927
