project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.88259526261586,0.3168044077134986,0.5502392344497608,0.908284023668639,0.4020979020979021,0.7069466074933667,0.35827330800036206,0.8666657229410266,,,
2,0.7667161961367014,0.3333333333333333,0.7252747252747253,0.7731958762886598,0.45674740484429066,0.7488520726811192,0.3740609206648958,0.8538197197991012,,,
3,0.9376601195559351,0.5181818181818182,0.7402597402597403,0.9515539305301646,0.6096256684491979,0.8392836620936897,0.5877452511698157,0.9223390868729078,,,
4,0.8616874135546335,0.49056603773584906,0.5306122448979592,0.9136,0.5098039215686274,0.6962523586593984,0.4298808092429844,0.8946122448979592,,,
all,0.8773722627737226,0.3732303732303732,0.6105263157894737,0.9026973026973028,0.46325878594249204,0.742374877328752,0.4139591450124948,0.8833553814606446,0.8126315789473684,0.009621223661887184,0.93788663047595
