style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9295982307408772,0.3793103448275862,0.3525641025641026,0.9648025029331248,0.3654485049833887,0.5832278530713507,0.328478825445472,0.8526342970026975,,,
2,0.9045138888888888,0.4444444444444444,0.3137254901960784,0.9619047619047619,0.367816091954023,0.5493396426169456,0.3234770633596198,0.8790372445274407,,,
3,0.8364083640836408,0.4416243654822335,0.7909090909090909,0.8435277382645804,0.5667752442996743,0.8167948069297704,0.5064527362154528,0.9029096081727661,,,
1,0.7035398230088495,0.45132743362831856,0.9107142857142857,0.6352941176470588,0.6035502958579881,0.7606388292556648,0.47145403547220294,0.8913865546218487,,,
all,0.8985401459854014,0.4280639431616341,0.5073684210526316,0.9356643356643357,0.464354527938343,0.6890040178556824,0.41056354270799655,0.8820947473579052,0.9031578947368422,0.001543193774637365,0.9643343653250774
