project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8781325094404394,0.3067756185346532,0.5540669856459329,0.9031804733727811,0.39483608677544213,0.7073527598473375,0.3513528271239199,0.8644885478893576,,,
2,0.7771173848439822,0.34700265153342663,0.7340659340659341,0.7838487972508591,0.4712011167928648,0.7585268098767259,0.3919417225241296,0.8564329141648729,,,
3,0.9362937660119556,0.5119356833642548,0.6987012987012987,0.9530164533820841,0.5906818904465962,0.8158803845398307,0.56510916408161,0.9189486929889125,,,
4,0.8683264177040112,0.5128809714153678,0.5612244897959184,0.91648,0.5356681026393284,0.7168129593454297,0.4599835959947131,0.8945077551020407,,,
all,0.8768613138686131,0.37235309427077357,0.6134736842105263,0.9018581418581417,0.4634072534909756,0.743794070454026,0.41441413551529466,0.8817536989326463,0.8122105263157895,0.009632492419673521,0.9358161848251483
