project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.8805750092148913,0.24390243902439024,0.5128205128205128,0.9030113414157216,0.3305785123966942,0.6805018289376962,0.2969369917842533,0.8448502351513694,,,
2,0.8998842592592593,0.4418604651162791,0.49673202614379086,0.939047619047619,0.4676923076923077,0.6829751287236062,0.4135079995409688,0.886718539267559,,,
3,0.8351783517835178,0.44285714285714284,0.8454545454545455,0.833570412517781,0.58125,0.8394914497596616,0.5306295590708422,0.9011379800853485,,,
1,0.7920353982300885,0.5555555555555556,0.8035714285714286,0.788235294117647,0.656934306569343,0.7958664217973628,0.5328093750997129,0.850735294117647,,,
all,0.8762773722627737,0.37168141592920356,0.6189473684210526,0.9006993006993007,0.46445497630331756,0.7466494906624623,0.41603381899796843,0.8778438403701563,0.8147368421052632,0.010269177234605104,0.9351092033834113
