,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.4661,0.4758,0.5246,0.4978,0.5196,0.5109
developer_aware,0.4813,0.4973,0.5398,0.5234,0.5149,0.5356
Kmean,0.5895,0.6017,0.6067,0.5865,0.6143,0.6135
project_final,0.5941,0.6139,0.6232,0.5406,0.6219,0.6135
