,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.7743,0.782,0.7785,0.7791,0.7579,0.8076
developer_aware,0.7747,0.784,0.7794,0.7811,0.7524,0.8084
Kmean,0.7806,0.7899,0.7878,0.7878,0.784,0.8131
project,0.7768,0.7869,0.7747,0.7874,0.7642,0.8122
