,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
developer_aware,0.009,0.8984,0.0377,0.0078,0.0864,0.3379
Kmean,0.294,0.0001,0.0173,0.0028,0.0009,0.2226
project_final,0.2053,0.3961,0.6318,0.0108,0.0381,0.0208
