,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
developer_aware,0.0027,0.0152,0.035,0.0042,0.122,0.1732
Kmean,0.0063,0.0301,0.1659,0.4432,0.0006,0.0625
project_final,0.0027,0.0009,0.0012,0.0023,0.0625,0.0019
