,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.0129,0.0118,0.0128,0.012,0.0127,0.0104
developer_aware,0.0133,0.012,0.0132,0.0122,0.0141,0.0105
Kmean,0.0116,0.0114,0.0116,0.0115,0.0116,0.0103
project,0.013,0.0117,0.013,0.0119,0.0132,0.0096
