style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.92480648728345,0.32608695652173914,0.28846153846153844,0.9636292530308955,0.30612244897959184,0.527228581201584,0.26708929707723494,0.8289486878653872,,,
2,0.9091435185185185,0.484375,0.40522875816993464,0.9580952380952381,0.4412811387900356,0.6230952925049756,0.394107863919716,0.8800456478887851,,,
3,0.8216482164821648,0.41626794258373206,0.7909090909090909,0.8264580369843528,0.5454545454545454,0.8084882031952021,0.4831988524394189,0.8879865511444458,,,
1,0.6814159292035398,0.4344262295081967,0.9464285714285714,0.5941176470588235,0.5955056179775281,0.7498599308980222,0.4682251340893062,0.8724789915966387,,,
all,0.8945255474452555,0.4137353433835846,0.52,0.9300699300699301,0.4608208955223881,0.6954396908692828,0.4064417531394683,0.8730107786949891,0.8968421052631579,0.0016757060189774228,0.9569040247678018
