,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
base,0.0095518025491042,0.0084686105969449,0.009432645869548,0.0086880731328467,0.0093728936291868,0.0104456515463586
Kmean,0.0015657312902101,0.001437392659865,0.0015891035285818,0.001545071900935,0.0016481601666106,0.0103232255358398
developer,0.0133084029457366,0.0120058180179089,0.0131927938380762,0.012209490380863,0.0141314396255432,0.0105381666565803
project,0.0129780613980354,0.0116637903510217,0.0130254319168782,0.0118513943000953,0.0131740125750989,0.0096324924196735
