project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.8706229266494655,0.21739130434782608,0.4807692307692308,0.8944075087993743,0.2994011976047904,0.655746605023388,0.26215803402216065,0.8414608465449295,,,
2,0.8940972222222222,0.41847826086956524,0.5032679738562091,0.932063492063492,0.456973293768546,0.6848924770766113,0.4009345607221259,0.8883867621122523,,,
3,0.8179581795817958,0.41517857142857145,0.8454545454545455,0.813655761024182,0.5568862275449101,0.8294027740447774,0.5046037239506398,0.8995732574679942,,,
1,0.8185840707964602,0.5974025974025974,0.8214285714285714,0.8176470588235294,0.6917293233082706,0.8195356340405124,0.5821464244957559,0.8581932773109244,,,
all,0.868065693430657,0.3506024096385542,0.6126315789473684,0.8923076923076924,0.4459770114942529,0.7393617994225453,0.39629853968207146,0.8767623954992376,0.8105263157894737,0.010558200003756252,0.9340992298952152
