developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9309262166405023,0.7307692307692307,0.3392857142857143,0.9879518072289156,0.4634146341463415,0.5789628093371153,0.4683148133674394,0.9478423899680354,,,
3,0.9221428571428572,0.4444444444444444,0.36,0.9653846153846154,0.3977900552486187,0.5895239278760969,0.3589250619465166,0.8776384615384616,,,
other,0.8983444670345628,0.4579945799457994,0.5297805642633229,0.9359795134443022,0.4912790697674418,0.7041759402105647,0.4365640804417001,0.8824100201092563,,,
all,0.9082116788321168,0.4705882352941176,0.471578947368421,0.9496503496503496,0.4710830704521556,0.6692048357985505,0.4208286395601351,0.8878540406961458,0.7747368421052632,0.0117539404133129,0.9232420148971088
new_all,0.9248895434462445,0.514018691588785,0.3525641025641026,0.9723551302498671,0.41825095057034223,0.5855062031013382,0.3873125528290011,0.9029260213470739,,,
