project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.8724659049023221,0.22857142857142856,0.5128205128205128,0.8944075087993743,0.31620553359683795,0.6772521814900359,0.2828130429390322,0.8450357490247987,,,
2,0.8975694444444444,0.43258426966292135,0.5032679738562091,0.9358730158730159,0.4652567975830816,0.6862906938645698,0.4104063961318815,0.8919929453262787,,,
3,0.8265682656826568,0.4298642533936652,0.8636363636363636,0.8207681365576103,0.5740181268882175,0.8419294559790677,0.5261745900874973,0.9080951765162292,,,
1,0.8008849557522124,0.5679012345679012,0.8214285714285714,0.7941176470588235,0.6715328467153284,0.8076576777136139,0.5541822751303369,0.8497899159663865,,,
all,0.8706204379562044,0.35903614457831323,0.6273684210526316,0.8937062937062937,0.4567049808429119,0.7487877578909239,0.4089623451369537,0.8804374572795625,0.8105263157894737,0.009920680466025738,0.9370029036737786
