developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9105180533751962,0.4909090909090909,0.4821428571428571,0.9518072289156626,0.4864864864864865,0.6774267907299083,0.4375009712154254,0.9246065896238014,,,
3,0.9207142857142856,0.4266666666666667,0.32,0.9669230769230768,0.3657142857142857,0.5562511884170537,0.3281697791800794,0.8721153846153846,,,
other,0.8887598024978217,0.4276018099547511,0.5924764890282131,0.9190140845070424,0.4967148488830486,0.7378985283602414,0.4433475941446727,0.8738284652342669,,,
all,0.8994525547445256,0.4335664335664335,0.5221052631578947,0.9352647352647352,0.4737344794651384,0.6987894108583024,0.4208876936499595,0.8791204584888795,0.7536842105263157,0.0141694195128975,0.9027900517611412
new_all,0.9175257731958762,0.45384615384615384,0.3782051282051282,0.962254120148857,0.4125874125874126,0.603265648679594,0.3704032684694358,0.8936463146989463,,,
