project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8887744593202883,0.3063973063973064,0.4354066985645933,0.9238165680473372,0.35968379446640314,0.6342207202329202,0.30636831643319373,0.8497945627247246,,,
2,0.8528974739970282,0.47058823529411764,0.7032967032967034,0.8762886597938144,0.5638766519823789,0.785041989685441,0.4935634606732175,0.8661681960651033,,,
3,0.9385140905209223,0.5287356321839081,0.5974025974025974,0.9625228519195612,0.5609756097560976,0.7582965460795015,0.5291879706304162,0.9149315035969515,,,
4,0.8658367911479945,0.5048543689320388,0.5306122448979592,0.9184,0.5174129353233831,0.698078996757735,0.4397408120955816,0.8772897959183673,,,
all,0.891970802919708,0.406099518459069,0.5326315789473685,0.926073926073926,0.46083788706739526,0.702322018355358,0.4065881555147177,0.8727607129712394,0.7810526315789473,0.013500597870204778,0.9195808610023987
