project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8668039821489874,0.2942528735632184,0.6124401913875598,0.8864644970414202,0.39751552795031053,0.7368218822933561,0.3612424610995544,0.8663224427394468,,,
2,0.849925705794948,0.463768115942029,0.7032967032967034,0.872852233676976,0.5589519650655022,0.7835011795844221,0.4879783106638867,0.8640912352252559,,,
3,0.9137489325362937,0.40476190476190477,0.6623376623376623,0.9314442413162706,0.5024630541871922,0.7854492990583772,0.47493870476964356,0.9139818134333673,,,
4,0.8450899031811895,0.45394736842105265,0.7040816326530612,0.8672,0.552,0.7813959251472551,0.4799140445801812,0.8794938775510204,,,
all,0.871897810218978,0.36662749706227965,0.6568421052631579,0.8923076923076924,0.47058823529411764,0.7655751192129319,0.42661026696241033,0.8809926915190074,0.7768421052631579,0.012928812752894923,0.9171821739679333
