project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt,0,1,2,3,4,5,6,7,8,9,10
1,0.8893923789907312,0.3098300020446164,0.4411483253588517,0.9240384615384616,0.3640023995592786,0.6384534209441013,0.3111847232042436,0.8494473896548795,,,,,,,,,,,,,,
2,0.84962852897474,0.4625849285695833,0.6901098901098901,0.8745704467353953,0.5538555631845309,0.7768349458829482,0.4812068626433768,0.8642762735546242,,,,,,,,,,,,,,
3,0.93134073441503,0.4817019691774574,0.5662337662337662,0.9570383912248628,0.5203308401883576,0.7359417557162347,0.4855910350043269,0.9124765545240866,,,,,,,,,,,,,,
4,0.8650069156293222,0.5025352139776049,0.5122448979591837,0.92032,0.5070477814576944,0.6865056882200363,0.4290908909643748,0.876610612244898,,,,,,,,,,,,,,
all,0.8902554744525547,0.3987708240142509,0.5237894736842106,0.9250349650349652,0.4527865892191635,0.6960573568416578,0.3975741145574078,0.8711877175456124,0.7768421052631579,0.0133987616887276,0.9181416487817196,0.8904987834549879,0.399740223653785,0.5246315789473684,0.9252214452214452,0.4537275446385644,0.6966876639130221,0.3986267480468849,0.8730037120773964,0.7785263157894736,0.0127659792028813,0.9203040864449754
