project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8655681428081017,0.29297984905615776,0.6181818181818182,0.8846893491124261,0.39753548293862806,0.7395156836840503,0.3620705934968422,0.8682405651029133,,,
2,0.84962852897474,0.4625849285695833,0.6901098901098901,0.8745704467353953,0.5538555631845309,0.7768349458829482,0.48120686264337686,0.8642762735546242,,,
3,0.9210930828351834,0.4360091873924278,0.6675324675324675,0.9389396709323583,0.5271780223638862,0.7916568748408009,0.49955916330929007,0.9194330349723403,,,
4,0.8395573997233748,0.4424716819628848,0.7040816326530612,0.8608,0.5433950047885223,0.7785032947601126,0.4701510905976879,0.8766726530612244,,,
all,0.872043795620438,0.36711886506913827,0.6576842105263158,0.8923876123876123,0.47120424180559717,0.766097376547575,0.4273385421456295,0.8824468163415531,0.7764210526315789,0.01284805332209236,0.9178891554096704
