project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.8925506350841057,0.34049079754601225,0.5311004784688995,0.9204881656804734,0.41495327102803736,0.6991936106815186,0.3696685335798297,0.8785265847512811,,,
2,0.8692421991084696,0.512396694214876,0.6813186813186813,0.8986254295532646,0.5849056603773585,0.7824642436959428,0.5164236312869583,0.8883350326649296,,,
3,0.9248505550811272,0.44761904761904764,0.6103896103896104,0.946983546617916,0.5164835164835165,0.7602821305709356,0.483533781617122,0.9292005983048031,,,
4,0.8478561549100968,0.4411764705882353,0.45918367346938777,0.9088,0.45,0.6459923547914322,0.36185594412074445,0.879330612244898,,,
all,0.8906934306569343,0.40519877675840976,0.5578947368421052,0.9222777222777223,0.46944198405668736,0.7173101750048344,0.41673843811750577,0.8916695935643304,0.7936842105263158,0.011959490902564894,0.9290493624542356
