,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
developer_aware,0.0625,0.0004,0.0625,0.0001,0.0128,0.0214
Kmean,0.0012,0.029,0.0016,0.0041,0.0012,0.0355
project_final,0.0,0.0037,0.0007,0.002,0.0605,0.0003
