,codebert,plbart,graphcodebert,unixcoder,codet5,cct5
developer_aware,0.0625,0.0,0.0002,0.0,0.3939,0.0061
Kmean,0.0001,0.0,0.0002,0.0,0.0,0.0
project_final,0.0,0.0,0.0,0.0,0.0,0.0
