style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt,0,1,2,3,4,5,6,7,8,9,10
0,0.9288610394397344,0.3686563633754611,0.332051282051282,0.9652718028940164,0.3492460781061552,0.5660089159223158,0.31229578956772,0.8533552941648365,,,,,,,,,,,,,,
1,0.6973451327433627,0.445162763693432,0.8964285714285716,0.6317647058823529,0.5948618709637741,0.7525170942985666,0.4561386393117341,0.8856512605042017,,,,,,,,,,,,,,
2,0.9054398148148148,0.4521025620082223,0.3202614379084967,0.9622857142857144,0.3748874936873878,0.5551176229966908,0.3310379460172785,0.8791418196908394,,,,,,,,,,,,,,
3,0.8317343173431734,0.4331642898739453,0.7890909090909091,0.838406827880512,0.5592926710344619,0.8133598626039305,0.4980393555958536,0.9049864218285272,,,,,,,,,,,,,,
all,0.8975182481751824,0.4230374354279896,0.5006315789473684,0.9351848151848152,0.458559577061682,0.6842314481953823,0.404155269186238,0.8826113675797886,0.7818947368421053,0.0115507062798282,0.923566563467492,0.8972627737226277,0.421635101511862,0.4978245614035088,0.935171495171495,0.456547203016051,0.6823013923987036,0.4019483012053592,0.8824885290148448,0.7790877192982455,0.01202140646618,0.9220035664363088
