project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc
1,0.9125295508274232,0.32075471698113206,0.3090909090909091,0.95448798988622,0.3148148148148148,0.5431607133347239,0.2681672247656755,0.8564532812320423
2,0.8877600387034349,0.3333333333333333,0.5064935064935064,0.9184526921066388,0.4020618556701031,0.6820486233205756,0.35217833249418384,0.8729608081411532
3,0.857566765578635,0.5272727272727272,0.5686274509803921,0.9090909090909091,0.5471698113207547,0.7189812559071418,0.4632699583941709,0.8374468668586316
4,0.9066666666666666,0.6571428571428571,0.71875,0.9378238341968912,0.6865671641791045,0.821012107601962,0.6327416056329839,0.9337759067357512
5,0.8108108108108109,0.21739130434782608,0.625,0.8252427184466019,0.3225806451612903,0.7181759526948296,0.28727977348363903,0.8300970873786407
6,0.9197267292912041,0.4247787610619469,0.6233766233766234,0.9405850091407678,0.5052631578947369,0.7657275670869126,0.4733926678033829,0.9188845889028705
7,0.7887323943661971,0.45121951219512196,0.5522388059701493,0.84375,0.4966442953020134,0.6826063964960433,0.36764469595149396,0.81643864013267
8,0.8804347826086957,0.19047619047619047,0.12903225806451613,0.9495548961424333,0.15384615384615385,0.35003315900850773,0.0940963928010969,0.8872403560830862
all,0.8888686131386861,0.3912337662337662,0.5073684210526316,0.9250749250749251,0.44179651695692024,0.6850940111332504,0.38520412187678166,0.8784339870655661
