project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc
1,0.9042553191489362,0.296875,0.34545454545454546,0.943109987357775,0.31932773109243695,0.5707903573084625,0.26904143720880513,0.8503160556257902
2,0.8935655539429125,0.31666666666666665,0.37012987012987014,0.9357030841610037,0.3413173652694611,0.588499499592507,0.28482619145319166,0.8600552609961915
3,0.8338278931750742,0.4647887323943662,0.6470588235294118,0.8671328671328671,0.5409836065573771,0.7490567220515939,0.4518800478831117,0.8380638968874262
4,0.9066666666666666,0.7391304347826086,0.53125,0.9689119170984456,0.6181818181818182,0.7174499675646723,0.57666641902271,0.9182318652849741
5,0.6846846846846847,0.15384615384615385,0.75,0.6796116504854369,0.2553191489361702,0.7139388894464831,0.23272396334875745,0.8373786407766991
6,0.9274124679760888,0.45652173913043476,0.5454545454545454,0.9542961608775137,0.4970414201183432,0.721474309078613,0.4603655362831697,0.9069659773498896
7,0.7887323943661971,0.45121951219512196,0.5522388059701493,0.84375,0.4966442953020134,0.6826063964960433,0.36764469595149396,0.81643864013267
8,0.9293478260869565,0.7777777777777778,0.22580645161290322,0.9940652818991098,0.35,0.4737788027943191,0.39536363301924127,0.9381640662391117
all,0.8906934306569343,0.3892857142857143,0.4589473684210526,0.9316683316683316,0.421256038647343,0.6539011615377459,0.3628456958974275,0.8716967243283033
