developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9089481946624803,0.48214285714285715,0.48214285714285715,0.9500860585197934,0.48214285714285715,0.6768140119606929,0.4322289156626506,0.9216867469879518,,,
3,0.9078571428571428,0.3619047619047619,0.38,0.9484615384615385,0.37073170731707317,0.6003460540516483,0.32116385716052037,0.8566,,,
other,0.8881789137380192,0.42567567567567566,0.5924764890282131,0.9183738796414853,0.4954128440366973,0.7376414656357152,0.44194156302998017,0.8887036955273965,,,
all,0.8956204379562044,0.41983471074380163,0.5347368421052632,0.9298701298701298,0.4703703703703704,0.7051494996203034,0.4171282188479839,0.8858976812661022,0.7789473684210526,0.012249557075214785,0.9213483146067416
