style,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
0,0.9152230003685956,0.3238095238095238,0.4358974358974359,0.9444661712944857,0.37158469945355194,0.6416310328834904,0.3313496745858348,0.8615264282061309,,,
2,0.9074074074074074,0.47651006711409394,0.46405228758169936,0.9504761904761905,0.47019867549668876,0.6641315008960313,0.4195233781851302,0.9012096690528063,,,
3,0.8118081180811808,0.4069264069264069,0.8545454545454545,0.8051209103840683,0.5513196480938416,0.8294651375001868,0.5003004156026906,0.9195913616966248,,,
1,0.6902654867256637,0.4406779661016949,0.9285714285714286,0.611764705882353,0.5977011494252874,0.753702346348183,0.46701368215302885,0.8939075630252101,,,
all,0.8881386861313869,0.4025423728813559,0.6,0.9154845154845155,0.4818258664412511,0.7411414907362218,0.4324118863289838,0.8933803039066196,0.9094736842105263,0.0014711989332242628,0.966439628482972
