developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9324960753532182,0.6382978723404256,0.5357142857142857,0.9707401032702238,0.5825242718446602,0.7211375326784897,0.5485894912593438,0.9323825915908532,,,
3,0.9171428571428571,0.3947368421052631,0.3,0.9646153846153848,0.3409090909090909,0.5379448070059004,0.3007710124457868,0.8760076923076924,,,
other,0.8791751379610805,0.3895216400911162,0.5360501567398119,0.9142125480153648,0.4511873350923482,0.7000455554156023,0.391412423116403,0.869632012651572,,,
all,0.8950729927007299,0.4110320284697509,0.4863157894736842,0.9338661338661338,0.4455159112825458,0.6739093753271623,0.3896940639462645,0.8784583837215417,0.7705263157894737,0.0132950473809528,0.9200858477464966
new_all,0.9219440353460973,0.4878048780487805,0.38461538461538464,0.9665071770334929,0.43010752688172044,0.609699540452727,0.3920052747076131,0.8974324895377527,,,
