developer,accuracy,precision,recall,recall0,f1,gmean,mcc,auc,R20E,E20R,Popt
1,0.9089481946624804,0.4821428571428571,0.4821428571428571,0.9500860585197934,0.4821428571428571,0.6768140119606929,0.4322289156626506,0.9181829358249324,,,
3,0.905,0.3565217391304348,0.41,0.943076923076923,0.3813953488372093,0.6218211466824994,0.3311620218025557,0.8700692307692307,,,
other,0.8881789137380192,0.423963133640553,0.5768025078369906,0.9199743918053778,0.4887118193891102,0.7284528374158152,0.4339665826965209,0.8879992694841031,,,
all,0.8948905109489051,0.4165289256198347,0.5305263157894737,0.9294705294705294,0.4666666666666667,0.7022169007043988,0.412989206604414,0.8876441453283558,0.7810526315789473,0.0121733886198067,0.9226107814669864
new_all,0.9062346588119784,0.39766081871345027,0.4358974358974359,0.9452418926103137,0.41590214067278286,0.6418944751995262,0.3654993311464611,0.8881732302784934,,,
